X,Y,O,44:25:2C:54:32:F9,49:29:6D:6C:49:9F,5c:83:8f:bc:40:10,5c:83:8f:bc:40:13,5c:83:8f:bc:40:15,5c:83:8f:bc:40:16,5c:83:8f:bc:40:17,5c:83:8f:bc:40:18,5c:83:8f:f2:e3:60,5c:83:8f:f2:e3:63,5c:83:8f:f2:e3:65,5c:83:8f:f2:e3:66,5c:83:8f:f2:e3:67,5c:83:8f:f2:e3:68,5c:83:8f:f2:e3:69,5c:83:8f:f2:e3:6a,5c:83:8f:f2:e3:6c,5c:83:8f:f2:e3:6f,7A:06:A9:3F:24:3C,c8:f9:f9:72:c8:f0,c8:f9:f9:72:c8:f3,c8:f9:f9:72:c8:f4,c8:f9:f9:72:c8:f5,c8:f9:f9:72:c8:f6,c8:f9:f9:72:e7:80,c8:f9:f9:72:e7:83,c8:f9:f9:72:e7:84,c8:f9:f9:72:e7:85,c8:f9:f9:72:e7:86,c8:f9:f9:72:e7:89,c8:f9:f9:72:e7:8a,c8:f9:f9:72:e7:8b,c8:f9:f9:72:e7:8c,c8:f9:f9:72:e7:8f,c8:f9:f9:72:eb:50,c8:f9:f9:72:eb:53,c8:f9:f9:72:eb:54,c8:f9:f9:72:eb:55,c8:f9:f9:72:eb:56,c8:f9:f9:73:36:20,c8:f9:f9:73:36:25,c8:f9:f9:73:36:28,c8:f9:f9:73:38:b0,c8:f9:f9:73:38:b3,c8:f9:f9:73:38:b4,c8:f9:f9:73:38:b5,c8:f9:f9:73:38:b6,c8:f9:f9:88:23:20,c8:f9:f9:88:23:24,c8:f9:f9:88:23:25,c8:f9:f9:88:39:10,c8:f9:f9:88:39:13,c8:f9:f9:88:39:14,c8:f9:f9:88:39:15,c8:f9:f9:88:39:16,c8:f9:f9:88:39:19,c8:f9:f9:88:39:1a,c8:f9:f9:88:39:1b,c8:f9:f9:88:39:1c,c8:f9:f9:88:39:1f,c8:f9:f9:88:8b:60,c8:f9:f9:88:8b:63,c8:f9:f9:88:8b:64,c8:f9:f9:88:8b:65,c8:f9:f9:88:8b:66,c8:f9:f9:88:8b:69,c8:f9:f9:88:8b:6a,c8:f9:f9:88:8b:6c,fc:5b:39:b0:4e:bf,magX,magY,magZ,Ori
0.8,1.35,0,-88,-92,-110,-86,-110,-110,-110,-86,-110,-79,-110,-79,-78,-110,-110,-110,-110,-110,-73,-110,-110,-110,-110,-110,-69,-66,-69,-67,-69,-76,-76,-76,-76,-75,-81,-110,-110,-81,-81,-110,-110,-110,-110,-82,-110,-80,-110,-110,-110,-110,-110,-71,-110,-110,-110,-76,-79,-81,-78,-82,-72,-110,-74,-110,-110,-110,-110,-110,-110,-6.52313232421875,-48.9547729492188,-13.385009765625,162.62393
0.8,1.35,0,-86,-92,-110,-86,-110,-110,-110,-86,-110,-79,-110,-79,-78,-110,-110,-110,-110,-110,-73,-110,-110,-110,-110,-110,-69,-66,-69,-67,-69,-76,-76,-76,-76,-75,-81,-110,-110,-81,-81,-110,-110,-110,-110,-82,-110,-80,-110,-110,-110,-110,-110,-71,-110,-110,-110,-76,-79,-81,-78,-82,-72,-110,-74,-110,-110,-110,-110,-110,-110,-5.29022216796875,-49.32861328125,-12.7639770507813,164.78966
0.8,1.35,0,-86,-90,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-72,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,0.05035400390625,-50.57373046875,4.3365478515625,165.03581
0.8,1.35,0,-68,-95,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-73,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,6.24847412109375,-51.3916015625,1.64031982421875,164.93201
0.8,1.35,0,-88,-94,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-79,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,-0.52490234375,-51.0284423828125,2.57110595703125,164.91345
0.8,1.35,0,-86,-92,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-79,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,-8.477783203125,-49.3698120117188,0.64239501953125,165.24458
0.8,1.35,0,-88,-94,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-79,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,-16.3665771484375,-47.7294921875,-3.3050537109375,165.3721
0.8,1.35,0,-86,-93,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-79,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,-5.45806884765625,-48.2772827148438,-19.964599609375,165.81247
0.8,1.35,0,-84,-97,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,-4.4403076171875,-48.4634399414063,-16.8502807617188,165.96631
0.8,1.35,0,-84,-84,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-80,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,-9.28497314453125,-45.7473754882813,16.0064697265625,165.90099
